,State,District,Latitude,Longitude,State name,Population,Male,Female,Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Households_with_Internet
340,Orissa,Khordha,20.054162322274863,85.52234834123229,ORISSA,2251673,1167137,1084536,1749936,2147632,84060,12527,1264,475,35701
341,Orissa,Koraput,18.82627794779476,82.81278469846964,ORISSA,1379647,678809,700838,568090,1294151,8850,68550,518,219,3988
342,Orissa,Malkangiri,18.25227930367506,81.98293636363628,ORISSA,613192,303624,309568,244706,600219,1871,10039,213,43,448
343,Orissa,Mayurbhanj,21.897621545157754,86.4030408052231,ORISSA,2519738,1256213,1263525,1369397,2113079,33706,15008,661,162,2950
344,Orissa,Nayagarh,20.192895622119817,85.05614700460825,ORISSA,962789,502636,460153,688362,955754,5278,383,107,33,1163
345,Orissa,Nuapada,20.471309512195116,82.59152536585364,ORISSA,610382,301962,308420,299383,601092,4952,1778,724,76,757
346,Orissa,Puri,19.83509174603177,85.86698989898981,ORISSA,1698730,865380,833350,1291939,1644905,46094,4239,193,243,3416
347,Orissa,Rayagada,19.292840020060204,83.45860120361095,ORISSA,967911,471960,495951,407735,874445,4607,84916,219,249,1553
348,Orissa,Sambalpur,21.515752380952385,84.34958483245157,ORISSA,1041099,526877,514222,703691,964188,20120,50637,2506,310,5231
349,Orissa,Sundargarh,22.06354819277107,84.50524819277099,ORISSA,2093437,1061147,1032290,1342322,1532352,71391,385011,5713,710,12787
350,Puducherry,Karaikal,10.876161726078813,79.82369793621002,PONDICHERRY,200222,97809,102413,154916,152638,28835,18391,46,63,1868
351,Puducherry,Mahe,12.006420793787758,75.28275021570326,PONDICHERRY,41816,19143,22673,36470,27940,12856,958,3,21,574
352,Puducherry,Yanam,16.707695652173904,82.26187304347832,PONDICHERRY,55626,27301,28325,39274,53537,1191,873,3,1,207
353,Punjab,Amritsar,31.548679820627772,74.79883856502238,PUNJAB,2490656,1318408,1172248,1684770,690939,12502,54344,1716935,876,29961
354,Punjab,Bathinda,30.190524611973352,75.05685898004438,PUNJAB,1388525,743197,645328,844868,380569,16299,2474,984286,246,11284
355,Punjab,Faridkot,30.591187250996025,74.79751553784862,PUNJAB,617508,326671,290837,381285,141363,3125,1227,469789,155,4348
356,Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,PUNJAB,600163,320795,279368,426033,152851,16808,1698,427521,48,5138
357,Punjab,Firozpur,30.63407535211269,74.40245732394365,PUNJAB,2029074,1071637,957437,1227511,906408,6844,19358,1090815,454,10042
